[run number],T,game-size,R,eps,S,percent-of-C,percent-of-FREE,percent-of-COMP,delta,percent-of-D,P,percent-of-FAKE,probablistic,[step],"count patches with [genome = ""COMP""]","count patches with [genome = ""C""]","count patches with [genome = ""D""]","count patches with [genome = ""FREE""]","count patches with [genome = ""FAKE""]"
263,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2593,0,0,8,0
262,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2427,73,0,101,0
264,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2584,0,0,17,0
265,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2597,0,0,4,0
266,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2593,0,0,8,0
267,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2578,0,0,23,0
268,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2594,0,0,7,0
269,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2572,0,0,29,0
270,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2578,0,0,23,0
272,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2574,0,0,27,0
273,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2580,0,0,21,0
271,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2584,0,0,17,0
274,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2598,0,0,3,0
275,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2596,0,0,5,0
276,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2570,0,0,31,0
277,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2601,0,0,0,0
278,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2550,0,0,51,0
279,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2577,0,0,24,0
280,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2582,0,0,19,0
282,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2191,168,0,242,0
281,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2573,0,0,28,0
283,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2592,0,0,9,0
284,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2592,0,0,9,0
285,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2589,0,0,12,0
286,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2560,0,0,41,0
288,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2585,0,0,16,0
287,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2588,0,0,13,0
292,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2596,0,0,5,0
289,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2595,0,0,6,0
291,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2595,0,0,6,0
290,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2593,0,0,8,0
293,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2554,0,0,47,0
294,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2511,25,0,65,0
295,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2595,0,0,6,0
296,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2554,6,0,41,0
297,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2576,0,0,25,0
298,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2590,0,0,11,0
299,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2597,0,0,4,0
300,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2579,0,0,22,0
301,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1726,0,0,875,0
302,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1704,0,0,897,0
303,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1696,0,0,905,0
304,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1601,0,0,1000,0
305,2,50,1,0.5,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,1615,0,0,986,0
